"nombre","run","serie","tipoentidad","row","categoria","instrumento"
"FONDO MUTUO ITAU GESTIONADO AGRESIVO","8993","F2","RGFMU","AAAw+cAAhAABP4GAAh","Balanceados - Agresivo","CFM"
"FONDO MUTUO ITAU GESTIONADO AGRESIVO","8993","F3","RGFMU","AAAw+cAAhAABP4GAAh","Balanceados - Agresivo","CFM"
"FONDO MUTUO ITAU GESTIONADO AGRESIVO","8993","F4","RGFMU","AAAw+cAAhAABP4GAAh","Balanceados - Agresivo","CFM"
"FONDO MUTUO ITAU GESTIONADO AGRESIVO","8993","F5","RGFMU","AAAw+cAAhAABP4GAAh","Balanceados - Agresivo","CFM"
"FONDO MUTUO ITAU GESTIONADO AGRESIVO","8993","IT","RGFMU","AAAw+cAAhAABP4GAAh","Balanceados - Agresivo","CFM"
"FONDO MUTUO ITAU GESTIONADO AGRESIVO","8993","S","RGFMU","AAAw+cAAhAABP4GAAh","Balanceados - Agresivo","CFM"
"FONDO MUTUO ITAU GESTIONADO AGRESIVO","8993","S2","RGFMU","AAAw+cAAhAABP4GAAh","Balanceados - Agresivo","CFM"
"FONDO MUTUO ITAU GESTIONADO CONSERVADOR","8994","F1","RGFMU","AAAw+cAAhAABP4FAAR","Balanceados - Conservador","CFM"
"FONDO MUTUO ITAU GESTIONADO CONSERVADOR","8994","F2","RGFMU","AAAw+cAAhAABP4FAAR","Balanceados - Conservador","CFM"
"FONDO MUTUO ITAU GESTIONADO CONSERVADOR","8994","F3","RGFMU","AAAw+cAAhAABP4FAAR","Balanceados - Conservador","CFM"
"FONDO MUTUO ITAU GESTIONADO CONSERVADOR","8994","F4","RGFMU","AAAw+cAAhAABP4FAAR","Balanceados - Conservador","CFM"
"FONDO MUTUO ITAU GESTIONADO CONSERVADOR","8994","F5","RGFMU","AAAw+cAAhAABP4FAAR","Balanceados - Conservador","CFM"
"FONDO MUTUO ITAU GESTIONADO CONSERVADOR","8994","IT","RGFMU","AAAw+cAAhAABP4FAAR","Balanceados - Conservador","CFM"
"FONDO MUTUO ITAU GESTIONADO CONSERVADOR","8994","S","RGFMU","AAAw+cAAhAABP4FAAR","Balanceados - Conservador","CFM"
"FONDO MUTUO ITAU GESTIONADO CONSERVADOR","8994","S2","RGFMU","AAAw+cAAhAABP4FAAR","Balanceados - Conservador","CFM"
"FONDO MUTUO ITAU GESTIONADO MODERADO","8992","F1","RGFMU","AAAw+cAAhAABP4GAAF","Balanceados - Moderado","CFM"
"FONDO MUTUO ITAU GESTIONADO MODERADO","8992","F2","RGFMU","AAAw+cAAhAABP4GAAF","Balanceados - Moderado","CFM"
"FONDO MUTUO ITAU GESTIONADO MODERADO","8992","F3","RGFMU","AAAw+cAAhAABP4GAAF","Balanceados - Moderado","CFM"
"FONDO MUTUO ITAU GESTIONADO MODERADO","8992","F4","RGFMU","AAAw+cAAhAABP4GAAF","Balanceados - Moderado","CFM"
"FONDO MUTUO ITAU GESTIONADO MODERADO","8992","F5","RGFMU","AAAw+cAAhAABP4GAAF","Balanceados - Moderado","CFM"
"FONDO MUTUO ITAU GESTIONADO MODERADO","8992","IT","RGFMU","AAAw+cAAhAABP4GAAF","Balanceados - Moderado","CFM"
"FONDO MUTUO ITAU GESTIONADO MODERADO","8992","S","RGFMU","AAAw+cAAhAABP4GAAF","Balanceados - Moderado","CFM"
"FONDO MUTUO ITAU GESTIONADO MODERADO","8992","S2","RGFMU","AAAw+cAAhAABP4GAAF","Balanceados - Moderado","CFM"
"FONDO MUTUO ITAU GLOBAL BRANDS","9931","F1","RGFMU","AAAw+cAAhAABQKHAAF","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO ITAU GLOBAL BRANDS","9931","F2","RGFMU","AAAw+cAAhAABQKHAAF","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO ITAU GLOBAL BRANDS","9931","F3","RGFMU","AAAw+cAAhAABQKHAAF","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO ITAU GLOBAL BRANDS","9931","IT","RGFMU","AAAw+cAAhAABQKHAAF","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO ITAU LATAM CORPORATE","8254","F1","RGFMU","AAAw+cAAhAAAACfAAp","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO ITAU LATAM CORPORATE","8254","F2","RGFMU","AAAw+cAAhAAAACfAAp","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO ITAU LATAM CORPORATE","8254","F3","RGFMU","AAAw+cAAhAAAACfAAp","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO ITAU LATAM CORPORATE","8254","F4","RGFMU","AAAw+cAAhAAAACfAAp","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO ITAU LATAM CORPORATE","8254","F5","RGFMU","AAAw+cAAhAAAACfAAp","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO ITAU LATAM CORPORATE","8254","F6","RGFMU","AAAw+cAAhAAAACfAAp","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO ITAU LATAM CORPORATE","8254","IT","RGFMU","AAAw+cAAhAAAACfAAp","Renta Fija - > 365 dias","CFM"
"FONDO MUTUO ITAU MONEDA CREDITO LATAM","9935","F1","RGFMU","AAAw+cAAhAABQKFAAD","Sin clasificacion","CFM"
"FONDO MUTUO ITAU MONEDA CREDITO LATAM","9935","F2","RGFMU","AAAw+cAAhAABQKFAAD","Sin clasificacion","CFM"
"FONDO MUTUO ITAU MONEDA CREDITO LATAM","9935","F3","RGFMU","AAAw+cAAhAABQKFAAD","Sin clasificacion","CFM"
