"nombre","run","serie","tipoentidad","row","categoria","instrumento"
"FONDO MUTUO BTG PACTUAL GESTIÓN CONSERVADORA","9872","I","RGFMU","AAAw+cAAhAABP4TAA/","Sin clasificacion","CFM"
"FONDO MUTUO BTG PACTUAL GLOBAL DESARROLLADO","9005","ADC","RGFMU","AAAw+cAAhAABP4FAAt","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL GLOBAL DESARROLLADO","9005","B","RGFMU","AAAw+cAAhAABP4FAAt","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL GLOBAL DESARROLLADO","9005","F","RGFMU","AAAw+cAAhAABP4FAAt","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL GLOBAL DESARROLLADO","9005","I","RGFMU","AAAw+cAAhAABP4FAAt","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL GLOBAL EMERGENTE","9024","ADC","RGFMU","AAAw+cAAhAABP4FAAX","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL GLOBAL EMERGENTE","9024","B","RGFMU","AAAw+cAAhAABP4FAAX","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL GLOBAL EMERGENTE","9024","I","RGFMU","AAAw+cAAhAABP4FAAX","Renta Variable - All/Large Cap","CFM"
"FONDO MUTUO BTG PACTUAL LITIO+","10225","A","RGFMU","AAAw+cAAhAABQKBAAq","Sin clasificacion","CFM"
"FONDO MUTUO BTG PACTUAL LITIO+","10225","I","RGFMU","AAAw+cAAhAABQKBAAq","Sin clasificacion","CFM"
"FONDO MUTUO BTG PACTUAL MONEY MARKET","8202","A","RGFMU","AAAw+cAAhAAAACfAAG","Money Market","CFM"
"FONDO MUTUO BTG PACTUAL MONEY MARKET","8202","BTGP","RGFMU","AAAw+cAAhAAAACfAAG","Money Market","CFM"
"FONDO MUTUO BTG PACTUAL MONEY MARKET","8202","D","RGFMU","AAAw+cAAhAAAACfAAG","Money Market","CFM"
